# Spaceport America 0 MPH Case (Up to date)
# 1050 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
22.04,3551.5816501879,42.8530625595,-10.0032136748,45.8725675241,10.0040292904,412.4777704368,0.3399820322,412.4779105508,8.2424309764e-4,16.3678795367,0.1277427844,0.5759587052,1.8675794968,9.7804582865,0.0057709868,-1.096746728e-8,0.0700429128,-2.5359024979e-4,23.9147620156,3.342,13.7391303797,0.1132905588,82.8114850657,66.6121170688,2.6128012898,0.1429575552,5.9790652634e6,0,5.9720270484,0.3936377282,0.3937700156,0.3103067753,0.0113370956,0.0719938572,0.0585152764,0.1431288478,-2.1863844834e-4,0,0,0,0,0.0099996634,0.0057574608,6.2,194.7783549651,1.2117145179,0.001762412,0,-17.188894734,543.7489011921,320.8824297912,0.05,0.3160261
22.09,3553.7118016376,42.3530419224,-9.9976272445,45.4035109639,9.9984401997,413.2960036295,0.3413940181,413.29614463,8.2602768355e-4,16.3614989463,0.127498655,0.5759587054,1.86757965,9.7804516746,0.0060356303,-1.1419076945e-8,0.0713003459,-2.7214969235e-4,23.9147620156,3.342,13.7391303797,0.1132905588,82.7965187808,66.6121170688,2.6103873729,0.1414994844,5.9167764177e6,0,5.8488269532,0.3936045095,0.3937491085,0.3103196719,0.011322628,0.0719622095,0.0612341781,0.1488027681,-3.0832146063e-4,0,0,0,0,0.0105771212,0.0057014685,6.2,194.7783549651,1.208180882,0.0017737042,0,-17.2027407184,543.5909116412,320.8740391247,0.05,0.3164269
22.14,3555.8169590178,41.8532993735,-9.9920898584,44.9353863288,9.992900465,414.1139180824,0.3428089708,414.1140599732,8.2781301836e-4,16.3551299619,0.1272790877,0.5759587056,1.867579803,9.7804451395,0.0063139109,0,0.0725856344,-2.9005030448e-4,23.9147620156,3.342,13.7391303797,0.1132905588,82.7808594058,66.6121170688,2.6078616672,0.1400441989,5.8546459204e6,0,5.7272222047,0.3935716864,0.3937298131,0.3103324121,0.0113083285,0.0719309458,0.0640967389,0.1554966974,1.1142180951e-4,0,0,0,0,0.0111914788,0.0056456153,6.2,194.7783549651,1.204583698,0.0017840959,0,-17.2164242413,543.434775856,320.8657469098,0.05,0.3168034
22.19,3557.8971361721,41.353832489,-9.986600298,44.4682109549,9.9874088819,414.9315143445,0.3442269182,414.9316571297,8.2959916834e-4,16.3487713301,0.1270852578,0.5759587058,1.8675799561,9.7804386811,0.0066067076,-1.4399165266e-8,0.0739057337,-3.005935518e-4,23.9147620156,3.342,13.7391303797,0.1132905588,82.7644633128,66.6121170688,2.6052171361,0.1385917541,5.7926755502e6,0,5.6072078652,0.3935392579,0.3937122606,0.310344996,0.0112941966,0.0719000653,0.0671125617,0.1625107366,-2.8647701206e-4,0,0,0,0,0.0118473176,0.0055899037,6.2,194.7783549651,1.2009214641,0.0017936717,0,-17.2299453927,543.2804928098,320.857553092,0.05,0.3171679
22.24,3559.9523468242,40.8546388943,-9.9811577975,44.0020030056,9.9819646828,415.7487929017,0.3456478826,415.7489365851,8.3138618518e-4,16.3424217704,0.1269171005,0.575958706,1.867580109,9.7804322993,0.0069147168,-7.7804606219e-9,0.0752479305,-3.0923830374e-4,23.9147620156,3.342,13.7391303797,0.1132905588,82.7472969341,66.6121170688,2.6024483654,0.1371422083,5.7308671935e6,0,5.4887789758,0.3935072231,0.3936965843,0.310357424,0.0112802316,0.0718695674,0.0702894388,0.1701783549,2.2440891533e-4,0,0,0,0,0.01254317,0.0055343366,6.2,194.7783549651,1.1971927525,0.0018024124,0,-17.2433042619,543.1280614847,320.8494576173,0.05,0.317516
22.29,3561.9826045804,40.3557162734,-9.9757612852,43.5367815096,9.9765668036,416.5657541741,0.3470718813,416.5658987598,8.3317410875e-4,16.3360799542,0.1267752697,0.5759587062,1.8675802619,9.7804259941,0.0072388113,-1.3953672799e-8,0.0766199667,-3.1683883384e-4,23.9147620156,3.342,13.7391303797,0.1132905588,82.7293177761,66.6121170688,2.5995485012,0.1356956224,5.6692228494e6,0,5.3719308171,0.3934755811,0.3936829389,0.3103696964,0.0112664331,0.0718394515,0.0736370614,0.1785127448,4.9116801771e-4,0,0,0,0,0.013284168,0.0054789171,6.2,194.7783549651,1.1933959972,0.0018104846,0,-17.2565009372,542.9774808716,320.841460432,0.05,0.3178665
22.34,3563.9879229328,39.857062366,-9.9704091025,43.072566402,9.9712136124,417.3823985152,0.3484989275,417.3825440071,8.3496296861e-4,16.3297445176,0.1266618869,0.5759587065,1.8675804148,9.7804197655,0.0075801934,-1.2447356423e-8,0.0780339478,-3.2201925213e-4,23.9147620156,3.342,13.7391303797,0.1132905588,82.7104664693,66.6121170688,2.5965079678,0.13425206,5.6077446345e6,0,5.2566590448,0.3934443309,0.3936715126,0.3103818134,0.0112528007,0.0718097169,0.077168624,0.1862591598,4.8652179595e-4,0,0,0,0,0.0140776039,0.005423648,6.2,194.7783549651,1.1895296144,0.0018180616,0,-17.2695355065,542.8287499699,320.8335614831,0.05,0.3182065
22.39,3565.9683152614,39.3586749606,-9.9651009586,42.6093785678,9.9659047982,418.1987262094,0.3499290312,418.1988726115,8.3675278656e-4,16.3234140816,0.1265754025,0.5759587067,1.8675805675,9.7804136134,0.0079394226,-2.0984011623e-8,0.0794732962,-3.2183647994e-4,23.9147620156,3.342,13.7391303797,0.1132905588,82.6907180316,66.6121170688,2.5933227359,0.1328115879,5.546434789e6,0,5.1429589283,0.3934134719,0.393662472,0.3103937753,0.0112393337,0.0717803629,0.0808907696,0.1944641859,4.2738280588e-4,0,0,0,0,0.0149209039,0.0053685327,6.2,194.7783549651,1.1855919631,0.0018250037,0,-17.2824080565,542.681867787,320.8257607177,0.05,0.3185592
22.44,3567.9237948373,38.8605519043,-9.9598351209,42.1472398864,9.9606386558,419.0147374715,0.3513621983,419.0148847878,8.3854357496e-4,16.3170872321,0.1265179639,0.5759587069,1.8675807203,9.7804075377,0.0083178169,-1.183531035e-8,0.0809494917,-3.2181139361e-4,23.9147620156,3.342,13.7391303797,0.1132905588,82.6700081342,66.6121170688,2.5899824299,0.1313742758,5.4852956822e6,0,5.0308264533,0.3933830029,0.3936560458,0.3104055823,0.0112260317,0.071751389,0.0848181077,0.2040086419,4.3278010202e-4,0,0,0,0,0.0158216967,0.0053135745,6.2,194.7783549651,1.1815813631,0.0018312679,0,-17.2951186737,542.5368333388,320.8180580837,0.05,0.3189031
22.49,3569.8543748253,38.3626910999,-9.9546105028,41.68617328,9.955414103,419.8304324451,0.3527984316,419.8305806796,8.4033533859e-4,16.3107625299,0.1264899167,0.5759587071,1.8675808729,9.7804015385,0.0087164127,0,0.0824588362,-3.1445205299e-4,23.9147620156,3.342,13.7391303797,0.1132905588,82.648287924,66.6121170688,2.5864791702,0.1299401967,5.4243298188e6,0,4.9202575069,0.3933529233,0.3936524654,0.3104172347,0.0112128942,0.0717227944,0.0889624625,0.2136898428,3.9693401564e-4,0,0,0,0,0.0167823751,0.0052587768,6.2,194.7783549651,1.1774960915,0.0018370567,0,-17.3076674436,542.3936456487,320.8104535292,0.05,0.3192531
