# Spaceport America 0 MPH Case (Up to date)
# 1050 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
4.09,871.4315185165,295.0835602657,-26.7741618726,296.1418816809,26.816014888,70.3256619579,0.0108715918,70.3256627982,1.545892556e-4,25.0141269374,1.4976349673,0.5759586548,1.8675154614,9.7887247676,5.9066048965e-5,-1.6792689784e-8,0.0012012607,-3.2074643809e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.626149706,66.6121170688,3.0667794576,0.8935019737,4.8538073756e7,0,407.63040814,0.4871812815,0.4871812989,0.286118301,0.0697115768,0.1313514037,6.5735178039e-4,0.0017013318,-9.8227492984e-5,0,0,0,0,7.0572894165e-8,0.0362761155,6.2,194.7783549651,1.4862975402,3.3360198446e-4,0,0.232080784,768.7723089303,331.4395409551,0.05,0.1180969
4.14,886.1523312067,293.7509633022,-26.5318890441,294.8077183925,26.5736757114,71.5744919975,0.0112132422,71.5744928758,1.5666533914e-4,24.9391736591,1.4896659242,0.5759586549,1.8675156951,9.7886793426,8.8187142954e-5,-1.4248892324e-8,0.00263338,-2.3882610989e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.5969474056,66.6121170688,3.0620694092,0.8896322539,4.8260499046e7,0,401.8428146258,0.4853458625,0.4853459011,0.2863328583,0.0681881156,0.1308248887,9.803915031e-4,0.0029525033,-3.6466033507e-4,0,0,0,0,3.4222555748e-7,0.0361128356,6.2,194.7783549651,1.4861966114,3.3272434148e-4,0,0.1363955117,767.355377062,331.3815556801,0.05,0.1185991
4.19,900.8068128184,292.4302411163,-26.2987945168,293.4854875174,26.3390729266,72.8195973321,0.0115624086,72.8195982501,1.5878154964e-4,24.8653466489,1.4560802177,0.5759586549,1.8675159282,9.7886341235,4.5759454742e-5,-3.1161479095e-8,0.0037819469,2.3821470692e-5,23.9147620156,3.342,13.7391303797,0.1132905588,85.5720257336,66.6121170688,3.0580497846,0.8857964958,4.7985590626e7,0,396.2221861893,0.4835997082,0.4835997186,0.2865446136,0.0667498449,0.1303052498,5.08101487e-4,0.0017964025,-8.8499313341e-5,0,0,0,0,7.1223067151e-7,0.035951021,6.2,194.7783549651,1.4860207281,2.8071168571e-4,0,0.0411413936,765.9448298358,331.3238316845,0.05,0.1190821
4.24,915.3955461798,291.1209730778,-26.0730386161,292.1748519065,26.1113125199,74.0610619412,0.0119146563,74.0610628996,1.608761182e-4,24.7936104838,1.4132582339,0.575958655,1.8675161605,9.7885891085,2.4874305345e-5,2.6483080887e-8,-0.0042542444,-3.2278024812e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.546301131,66.6121170688,3.0539006552,0.8819937142,4.7713282501e7,0,390.7575278725,0.4819348741,0.4819348771,0.2867536451,0.0653889342,0.1297922947,2.7588251547e-4,0.0011292061,2.1578608989e-4,0,0,0,0,-9.0933160815e-7,0.0357906405,6.2,194.7783549651,1.4858063699,2.1105278524e-4,0,-0.0536853604,764.5406111244,331.2663666716,0.05,0.1196857
4.29,929.9190956273,289.8228411371,-25.8527616483,290.8754959148,25.8894728877,75.2989945074,0.0122661675,75.2989955065,1.6289948394e-4,24.7239737686,1.3782313154,0.575958655,1.8675163922,9.7885442957,7.7393831145e-5,-3.1097503321e-8,-0.0034100699,6.4667185717e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.5169364068,66.6121170688,3.0491644094,0.8782229882,4.7443512599e7,0,385.4390347789,0.4803444058,0.4803444353,0.2869600266,0.0640985365,0.1292858427,8.5755132288e-4,0.002206976,-8.1562776714e-6,0,0,0,0,-5.8948853447e-7,0.0356316493,6.2,194.7783549651,1.4856134345,1.7846451356e-4,0,-0.148088422,763.1426665592,331.2091584163,0.05,0.1201999
4.34,944.3780120857,288.5356197058,-25.6365710897,289.5871234679,25.6727718966,76.5334807927,0.0126141663,76.5334818322,1.6481892649e-4,24.6555924562,1.362879165,0.5759586551,1.8675166232,9.7884996835,7.5144601279e-5,-7.949830358e-9,-0.0019973282,2.2295226107e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.4909081236,66.6121170688,3.0449662992,0.8744834551,4.7176222381e7,0,380.2578955248,0.4788221848,0.4788222124,0.2871638276,0.0628726339,0.1287857232,8.3174088478e-4,0.0026853499,2.092194128e-5,0,0,0,0,-2.0403442848e-7,0.0354740049,6.2,194.7783549651,1.4854781401,2.1824117738e-4,0,-0.2420713723,761.7509431081,331.1522047484,0.05,0.1206758
4.39,958.7728364658,287.2591266841,-25.4239760367,288.3094559301,25.4608071148,77.764554916,0.012961104,77.7645559961,1.6667110003e-4,24.5873242833,1.3689928494,0.5759586551,1.8675168536,9.7884552701,1.2082094531e-5,0,-0.0013487518,-2.2715921081e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.4685371617,66.6121170688,3.0413580795,0.8707743033,4.6911356463e7,0,375.2062519056,0.4773628011,0.4773628018,0.2873651138,0.0617059122,0.1282917751,1.3357304072e-4,4.0845737062e-5,-3.6631068134e-4,0,0,0,0,-9.3866225305e-8,0.0353176714,6.2,194.7783549651,1.4854011542,2.5678141334e-4,0,-0.3356377261,760.3653887243,331.095503538,0.05,0.1211901
4.44,973.1041000855,285.9931460803,-25.2165296639,287.0422298504,25.2539873177,78.9922042925,0.0133105719,78.9922054139,1.6850487821e-4,24.5186074772,1.3749571455,0.5759586552,1.8675170834,9.7884110539,5.0997976245e-5,0,0.0015191889,-4.5589611527e-5,23.9147620156,3.342,13.7391303797,0.1132905588,85.4409414684,66.6121170688,3.0369071612,0.8670947666,4.6648862238e7,0,370.2770662845,0.4759614504,0.4759614631,0.2875639475,0.0605936577,0.1278038452,5.632734925e-4,0.0021856751,1.8017196382e-4,0,0,0,0,1.201420535e-7,0.0351626011,6.2,194.7783549651,1.485334357,2.9431265859e-4,0,-0.4287909351,758.9859522943,331.0390526933,0.05,0.1216889
4.49,987.3723217412,284.7373975014,-25.0149248386,285.7851957948,25.0523868334,80.2164125589,0.01366509,80.2164137228,1.7035279199e-4,24.4497975364,1.3695332669,0.5759586553,1.8675173125,9.7883670332,8.0715484514e-5,-1.5088713834e-8,0.0026889317,-3.6965320321e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.4141734496,66.6121170688,3.0325897388,0.8634441205,4.6388689685e7,0,365.4638955215,0.4746138482,0.4746138798,0.2877603879,0.059531672,0.1273217884,8.9065862771e-4,0.0022290477,4.3358970892e-4,0,0,0,0,3.797022376e-7,0.0350087708,6.2,194.7783549651,1.4852238501,3.614014736e-4,0,-0.5215343695,757.6125839098,330.9828501721,0.05,0.1222222
4.54,1001.578005126,283.4915634328,-24.8196784223,284.5381175219,24.8560339513,81.4371975878,0.0140286722,81.4371987961,1.7226368828e-4,24.3818331011,1.3438700837,0.5759586553,1.867517541,9.7883232065,5.0331166248e-5,-2.3419881563e-8,0.003540779,-8.2022614866e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.3909997021,66.6121170688,3.0288520376,0.859821679,4.6130791199e7,0,360.7608717292,0.4733161592,0.4733161715,0.2879544914,0.0585162017,0.1268454661,5.5479079909e-4,0.0018296751,-1.4612738565e-4,0,0,0,0,6.6417087215e-7,0.0348561527,6.2,194.7783549651,1.4850556951,4.4771098557e-4,0,-0.613871303,756.245235095,330.9268939904,0.05,0.1227137
4.59,1015.7216384929,282.2553536806,-24.6296167906,283.3007705236,24.6643847608,82.6546224739,0.0144053974,82.6546237293,1.7428422969e-4,24.3154662294,1.3091418487,0.5759586554,1.8675177688,9.7882795721,1.232217015e-5,-3.8339800782e-8,-0.0037799944,-0.0019711703,23.9147620156,3.342,13.7391303797,0.1132905588,85.3685531141,66.6121170688,3.0252316202,0.8562267907,4.5875121366e7,0,356.162708129,0.4720649376,0.4720649384,0.2881463117,0.0575438792,0.1263747467,1.3568021506e-4,2.8002292726e-4,-1.133612069e-4,0,0,0,0,-7.6357181017e-7,0.0347047311,6.2,194.7783549651,1.4848489479,4.1336765917e-4,0,-0.7058049113,754.8838588223,330.8711822238,0.05,0.1232849
4.64,1029.803696928,281.0285361144,-24.4433290899,282.0729407716,24.4767895763,83.8687753001,0.0147924444,83.8687766046,1.7637606073e-4,24.250892869,1.2794103992,0.5759586554,1.8675179961,9.7882361286,5.8618704137e-5,0,-0.0035270903,-2.9687007546e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.3418152524,66.6121170688,3.0209190619,0.8526588356,4.5621636741e7,0,351.6645444575,0.4708570768,0.4708570933,0.2883359003,0.0566116725,0.125909504,6.4489494162e-4,0.0019877449,-2.7658511531e-4,0,0,0,0,-6.706152129e-7,0.0345544851,6.2,194.7783549651,1.4846491575,3.2027971216e-4,0,-0.7973382841,753.5284093393,330.8157129999,0.05,0.1240258
4.69,1043.8246459992,279.8109557306,-24.2600461254,280.8544240638,24.2928139193,85.0797326017,0.0151833813,85.0797339565,1.7846061161e-4,24.1875292108,1.2613366372,0.5759586555,1.8675182227,9.7881928746,7.2810318489e-5,-8.7536590314e-9,-0.0024691819,6.9328339725e-5,23.9147620156,3.342,13.7391303797,0.1132905588,85.3171254312,66.6121170688,3.0169368326,0.8491172224,4.5370295709e7,0,347.2618760178,0.469689767,0.4696897924,0.2885233062,0.0557168434,0.1254496174,8.0028534523e-4,0.0025304533,1.9888061748e-4,0,0,0,0,-3.3151770695e-7,0.0344053952,6.2,194.7783549651,1.4844952014,2.1455214578e-4,0,-0.8884744482,752.1788418219,330.7604844844,0.05,0.1245593
4.74,1057.7849444606,278.6024912927,-24.0789966058,279.6450252929,24.1120316724,86.2875336725,0.0155712823,86.2875350775,1.8045807343e-4,24.1245107007,1.2617423789,0.5759586555,1.8675184488,9.7881498085,3.1781997118e-5,-1.1256279322e-8,-0.0018905867,8.3071689963e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.2957370057,66.6121170688,3.0134870866,0.8456013866,4.5121058338e7,0,342.9505583123,0.4685604593,0.4685604642,0.2887085765,0.0548569114,0.1249949714,3.4896814985e-4,0.0015038107,-2.4908169452e-4,0,0,0,0,-1.9603881868e-7,0.0342574262,6.2,194.7783549651,1.4843882287,1.8956969269e-4,0,-0.979216385,750.8351121249,330.7054948707,0.05,0.1251326
4.79,1071.6850446812,277.4029994209,-23.90120617,278.4445574183,23.9347598785,87.492180828,0.0159549481,87.4921822828,1.8235855788e-4,24.0613272317,1.2669151754,0.5759586556,1.8675186742,9.788106929,2.8506365358e-5,0,0.0019448944,3.5477677888e-5,23.9147620156,3.342,13.7391303797,0.1132905588,85.2725763776,66.6121170688,3.0097515014,0.8421107876,4.4873886214e7,0,338.7268107939,0.4674668349,0.4674668388,0.2888917565,0.0540296233,0.124545455,3.1270936795e-4,6.9858115998e-4,-3.8075094621e-4,0,0,0,0,2.0925587006e-7,0.0341105446,6.2,194.7783549651,1.4843006899,2.890609942e-4,0,-1.0695670334,749.4971767256,330.6507423778,0.05,0.125762
4.84,1085.5253909921,276.2123003158,-23.7275662526,277.2528409122,23.7612561904,88.6936631588,0.0163407743,88.6936646641,1.8423834958e-4,23.9979780008,1.2648697477,0.5759586557,1.8675188991,9.7880642347,6.4706835391e-5,-5.3684017728e-9,0.0025535657,-5.9136765161e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.2475438514,66.6121170688,3.0057139972,0.8386449068,4.462874234e7,0,334.5870924646,0.466406778,0.4664067979,0.2890728897,0.0532329268,0.1241009615,7.0922984773e-4,0.0017489692,-2.915636675e-4,0,0,0,0,3.6383557783e-7,0.0339647208,6.2,194.7783549651,1.4841983158,4.1916884014e-4,0,-1.1595292799,748.1649928802,330.5962252564,0.05,0.1262888
4.89,1099.3064177089,275.0301770251,-23.5584107056,276.0697035389,23.5915585085,89.891983632,0.0167363483,89.89198519,1.8618287706e-4,23.9349731062,1.250167145,0.5759586557,1.8675191234,9.7880217242,5.9777954098e-5,-2.4141335017e-8,0.0031356019,-6.4100169101e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.2250274631,66.6121170688,3.0020823217,0.8352032472,4.4385591104e7,0,330.528089051,0.465378354,0.465378371,0.2892520178,0.0524649479,0.1236613884,6.5460917454e-4,0.0016779305,-2.0896123974e-4,0,0,0,0,5.5330859391e-7,0.0338199363,6.2,194.7783549651,1.4840548254,4.8143023744e-4,0,-1.2491059482,746.8385187749,330.5419417954,0.05,0.1267851
4.94,1113.0285475347,273.8563809967,-23.3943622593,274.8949503281,23.4265651591,91.0871757521,0.0171444459,91.0871773656,1.8822019174e-4,23.872919873,1.2279127156,0.5759586558,1.867519347,9.7879793962,3.0334540926e-5,0,0.0036765813,-0.0015705428,23.9147620156,3.342,13.7391303797,0.1132905588,85.2041156821,66.6121170688,2.9987094537,0.8317852425,4.4148233485e7,0,326.5750752465,0.4643797827,0.464379787,0.2894291857,0.0517239715,0.1232266255,3.3186746671e-4,6.3534794901e-4,-2.3307130745e-5,0,0,0,0,7.6721645353e-7,0.033676181,6.2,194.7783549651,1.4838712404,4.4898264393e-4,0,-1.3382997842,745.5825646327,330.4878903307,0.05,0.1272989
4.99,1126.6921908107,272.6906868392,-23.2338883766,273.7283927938,23.2648793125,92.2792986825,0.0175630476,92.2793003538,1.9032489013e-4,23.8122307358,1.2004333922,0.5759586558,1.8675195701,9.7879372493,2.2994060975e-5,0,-0.0036712702,-0.0011179789,23.9147620156,3.342,13.7391303797,0.1132905588,85.1822619469,66.6121170688,2.9951846578,0.8283903441,4.3912785759e7,0,322.696285289,0.4634093918,0.4634093943,0.2896044367,0.0510083886,0.1227965665,2.5133647994e-4,0.00122576,-3.770926428e-4,0,0,0,0,-7.7153582746e-7,0.0335334359,6.2,194.7783549651,1.4836705721,3.8372085056e-4,0,-1.42711346,744.3326174244,330.4340692433,0.05,0.1278075
5.04,1140.297748802,271.5329487016,-23.0759721409,272.5698791146,23.1060199807,93.4684204412,0.0179878281,93.468422172,1.9244818478e-4,23.7528265688,1.1779936763,0.5759586559,1.8675197927,9.7878952824,5.7354861736e-5,-8.592333483e-9,-0.0031722762,8.6732707251e-7,23.9147620156,3.342,13.7391303797,0.1132905588,85.1583932389,66.6121170688,2.9913348661,0.8250181159,4.3679177801e7,0,318.888786076,0.4624656852,0.4624657008,0.2897778078,0.0503167567,0.1223711207,6.2642308301e-4,0.0023256503,1.1335011242e-4,0,0,0,0,-5.8096417017e-7,0.0333916844,6.2,194.7783549651,1.4834850483,3.5157451465e-4,0,-1.5155495825,743.0879838292,330.380476953,0.05,0.1283005
5.09,1153.8456165472,270.3830617774,-22.9198304158,271.4192629935,22.949586282,94.6545945468,0.0184156411,94.6545963382,1.9455622775e-4,23.6942235112,1.1682825966,0.575958656,1.8675200147,9.7878534941,5.1177968165e-5,-1.2020130485e-8,-0.0027272336,6.8540064942e-5,23.9147620156,3.342,13.7391303797,0.1132905588,85.1369872593,66.6121170688,2.9878822888,0.8216681365,4.3447379488e7,0,315.1500750127,0.4615472822,0.4615472945,0.2899493349,0.0496477472,0.1219502001,5.584759991e-4,0.0021420464,1.7940894398e-4,0,0,0,0,-4.3303842821e-7,0.0332509088,6.2,194.7783549651,1.4833340011,3.2044572511e-4,0,-1.6036107196,741.84862771,330.3271119039,0.05,0.1287606
5.14,1167.3361842776,269.2409307186,-22.7658584037,270.2764031463,22.7956791422,95.8378469178,0.0188447841,95.8378487706,1.966319617e-4,23.6358905794,1.1656237372,0.575958656,1.8675202361,9.7878118833,2.2597049633e-5,-1.8753900126e-8,-0.002296864,8.0157149836e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.1170511053,66.6121170688,2.9846667801,0.8183399997,4.3217361657e7,0,311.4778278724,0.4606529059,0.4606529083,0.2901190525,0.0490001335,0.1215337199,2.4636591988e-4,9.7236126621e-4,-3.0919230247e-4,0,0,0,0,-3.0975433145e-7,0.0331110796,6.2,194.7783549651,1.4832142634,3.097391168e-4,0,-1.6912994072,740.6145133761,330.2739725592,0.05,0.1292477
5.19,1180.7698370494,268.1064434177,-22.6141722435,269.1411628762,22.6442962452,97.0181829814,0.0192741932,97.018184896,1.9866577924e-4,23.5775433896,1.1676327257,0.5759586561,1.8675204571,9.7877704487,2.4303524388e-5,-6.787820336e-9,0.0025112548,-7.4492952029e-5,23.9147620156,3.342,13.7391303797,0.1132905588,85.0957086413,66.6121170688,2.9812244472,0.8150333127,4.2989096023e7,0,307.8698615957,0.4597813735,0.4597813763,0.2902869941,0.0483727815,0.1211215979,2.6475209731e-4,0.0010092132,9.1058666766e-5,0,0,0,0,3.7340865883e-7,0.0329721855,6.2,194.7783549651,1.4831028064,3.4700737101e-4,0,-1.7786181478,739.3856056079,330.2210574024,0.05,0.1297546
5.24,1194.1469536819,266.9794591749,-22.4657201114,268.0134098835,22.4957787195,98.1956024284,0.0197066052,98.1956044058,2.006872455e-4,23.51927414,1.1625317527,0.5759586562,1.8675206774,9.7877291892,4.5886230857e-5,-2.0031438296e-8,0.0027227478,-4.6248587354e-4,23.9147620156,3.342,13.7391303797,0.1132905588,85.0735232167,66.6121170688,2.9776461529,0.8117476954,4.2762555147e7,0,304.3241039877,0.4589315871,0.458931597,0.2904531921,0.0477646403,0.1207137547,4.9947943197e-4,0.0013551574,-9.646717536e-5,0,0,0,0,4.4265447477e-7,0.0328341964,6.2,194.7783549651,1.4829759354,4.380967421e-4,0,-1.8655694026,738.161869766,330.168364942,0.05,0.1303835
5.29,1207.4679054513,265.8598221251,-22.3203910629,266.8930161666,22.3500318254,99.3701165452,0.0201464738,99.3701185875,2.0274177204e-4,23.4613950592,1.1506804059,0.5759586562,1.8675208972,9.7876881036,4.5463105807e-5,-1.4001739766e-8,0.0029540014,-0.0011543882,23.9147620156,3.342,13.7391303797,0.1132905588,85.0527733065,66.6121170688,2.9742993932,0.8084827804,4.2537712412e7,0,300.8385910896,0.458102526,0.4581025357,0.2906176779,0.047174735,0.1203101131,4.9447337052e-4,0.0011103371,-1.607120852e-5,0,0,0,0,5.2542418103e-7,0.0326971041,6.2,194.7783549651,1.482823292,5.2715952302e-4,0,-1.952155585,736.9432718859,330.1158937155,0.05,0.130933
5.34,1220.7330558215,264.7473788963,-22.1779309938,265.7798577874,22.2069083042,100.5417535568,0.0205988225,100.5417556669,2.0487828681e-4,23.4042340826,1.1340869741,0.5759586563,1.8675211165,9.7876471908,2.5234178268e-5,-4.9636239824e-8,0.0032527081,-0.0015629553,23.9147620156,3.342,13.7391303797,0.1132905588,85.033334989,66.6121170688,2.9711641807,0.8052382122,4.2314541993e7,0,297.4114747047,0.4572932398,0.4572932428,0.2907804819,0.0466021593,0.1199105986,2.7422499239e-4,6.2538804779e-4,4.4492208677e-4,0,0,0,0,6.4240533258e-7,0.0325608902,6.2,194.7783549651,1.4826477519,5.5831488453e-4,0,-2.0383790581,735.7297787093,330.0636422908,0.05,0.131492
5.39,1233.9427608881,263.6419883164,-22.0381185224,264.6738145813,22.066280896,101.7105557148,0.021064327,101.710557896,2.0710069435e-4,23.3480217911,1.1144884803,0.5759586564,1.8675213353,9.7876064496,1.7107227472e-5,9.7527183989e-9,-0.0017713459,-0.0034365354,23.9147620156,3.342,13.7391303797,0.1132905588,85.013465668,66.6121170688,2.9679594515,0.8020136462,4.2093018797e7,0,294.0410107994,0.456502842,0.4565028434,0.2909416336,0.0460460696,0.1195151388,1.8575803061e-4,7.2454580755e-4,4.287758424e-4,0,0,0,0,-1.9210906902e-7,0.0324255517,6.2,194.7783549651,1.4824565551,5.3821061805e-4,0,-2.1242421372,734.5213576515,330.0116092649,0.05,0.1320058
5.44,1247.097370122,262.543527947,-21.900499486,263.574769934,21.9279170941,102.8765728743,0.0215414785,102.8765751296,2.0939148348e-4,23.2928160363,1.096207257,0.5759586565,1.8675215535,9.787565879,3.753299323e-5,-1.6960684774e-8,-0.0036078006,-6.1651413577e-4,23.9147620156,3.342,13.7391303797,0.1132905588,84.992265262,66.6121170688,2.9645400312,0.7988087481,4.1873118425e7,0,290.7255383532,0.4557305045,0.4557305111,0.2911011617,0.0455056795,0.1191236633,4.0725187424e-4,0.0012333307,1.536940696e-4,0,0,0,0,-8.0360099639e-7,0.0322910787,6.2,194.7783549651,1.4822668529,4.6968572419e-4,0,-2.2097470934,733.3179767471,329.9597932614,0.05,0.1325252
5.49,1260.1972275811,261.4519039277,-21.7645429281,262.4826106285,21.7915447336,104.0398507527,0.0220252337,104.0398530841,2.1169997088e-4,23.2383909709,1.0844782196,0.5759586565,1.8675217712,9.7875254778,4.2848671843e-5,-7.7920426684e-9,-0.0032653362,-6.7697595275e-5,23.9147620156,3.342,13.7391303797,0.1132905588,84.9721096146,66.6121170688,2.9612891203,0.7956231936,4.165481714e7,0,287.4634718583,0.4549754527,0.4549754612,0.2912590939,0.0449802548,0.118736104,4.6457826477e-4,0.0014821964,-9.0300962575e-5,0,0,0,0,-6.6377029276e-7,0.0321574589,6.2,194.7783549651,1.4820986654,3.6500356441e-4,0,-2.294896164,732.1196045121,329.9081929246,0.05,0.1330245
5.54,1273.2426731386,260.3670384128,-21.6302370568,261.3972266738,21.6571170698,105.2004190163,0.022509523,105.2004214245,2.1396799413e-4,23.1843788124,1.0786865347,0.5759586566,1.8675219884,9.787485245,2.9604921145e-5,-1.6733414797e-8,-0.0025722254,0.001050485,23.9147620156,3.342,13.7391303797,0.1132905588,84.953183076,66.6121170688,2.9582364528,0.7924566679,4.1438091831e7,0,284.2533071132,0.4542369609,0.454236965,0.2914154573,0.0444691091,0.1183523945,3.20732761e-4,0.0013018305,-7.0186450442e-5,0,0,0,0,-4.1531650365e-7,0.0320246777,6.2,194.7783549651,1.4819567696,2.7661337134e-4,0,-2.379691558,730.9262098563,329.8568069159,0.05,0.1335017
5.59,1286.2340427566,259.2888504372,-21.4977379335,260.3185110747,21.524667982,106.3582900682,0.0229895201,106.3582925528,2.161516487e-4,23.1304830711,1.0763807314,0.5759586567,1.8675222051,9.7874451796,1.3818712166e-5,-2.3002976227e-8,3.5095507311e-4,0.0025398259,23.9147620156,3.342,13.7391303797,0.1132905588,84.9346095986,66.6121170688,2.9552407306,0.7893088648,4.1222919967e7,0,281.093617887,0.4535143484,0.4535143492,0.2915702781,0.0439715999,0.1179724703,1.4959134699e-4,8.3598059063e-5,3.1233001247e-4,0,0,0,0,7.7957164085e-9,0.031892714,6.2,194.7783549651,1.4818302239,2.8560156254e-4,0,-2.4641354585,729.7377620542,329.8056339121,0.05,0.1339531
5.64,1299.1716679044,258.217241789,-21.3672267525,259.246359682,21.394245481,107.5134673258,0.0234654943,107.5134698865,2.1825632152e-4,23.0766343137,1.0748770205,0.5759586567,1.8675224213,9.7874052805,3.2545176521e-5,-1.4692245154e-8,0.0027524825,-9.4012700845e-5,23.9147620156,3.342,13.7391303797,0.1132905588,84.9143669826,66.6121170688,2.9519757925,0.7861794863,4.1009279582e7,0,277.983042815,0.4528069756,0.4528069805,0.291723582,0.0434871247,0.1175962689,3.5206457512e-4,9.3407857698e-4,4.1994680606e-4,0,0,0,0,4.83489309e-7,0.0317615509,6.2,194.7783549651,1.4816997984,3.8244545702e-4,0,-2.5482300197,728.5542307883,329.754672608,0.05,0.1344183
5.69,1312.0558747165,257.1520971397,-21.2391355335,258.180671152,21.2660076322,108.6659562772,0.0239432319,108.665958915,2.2033792656e-4,23.0229861915,1.068738696,0.5759586568,1.867522637,9.7873655467,4.6913766226e-5,-2.3961453138e-8,0.0030432653,-7.9722921065e-4,23.9147620156,3.342,13.7391303797,0.1132905588,84.8945701194,66.6121170688,2.9487827501,0.7830682427,4.079714926e7,0,274.9202750373,0.4521142412,0.4521142513,0.2918753937,0.0430151185,0.117223729,5.0714542562e-4,0.0017028014,4.3155381271e-4,0,0,0,0,5.9593003022e-7,0.0316311669,6.2,194.7783549651,1.4815525913,5.1432735385e-4,0,-2.631977361,727.3755862321,329.7039217192,0.05,0.134905
5.74,1324.8869833361,256.0932934145,-21.1135453871,257.1213468828,21.1399612675,109.8157733458,0.0244297019,109.8157760632,2.2246076992e-4,22.9698082478,1.0564864296,0.5759586569,1.8675228522,9.7873259772,3.808813172e-5,-2.9296469066e-8,0.0033779228,-0.0011641757,23.9147620156,3.342,13.7391303797,0.1132905588,84.8762419547,66.6121170688,2.9458265945,0.7799748522,4.0586508127e7,0,271.9040633134,0.451435579,0.4514355857,0.2920257374,0.0425550501,0.1168547915,4.1143365299e-4,0.0010905707,-2.7551900081e-5,0,0,0,0,7.4026335097e-7,0.0315015516,6.2,194.7783549651,1.481380974,5.8624098814e-4,0,-2.7153795639,726.2017990898,329.6533799843,0.05,0.135476
5.79,1337.6653077654,255.0407111593,-20.9901705211,256.0682908719,21.0159579234,110.9629489817,0.024928345,110.9629517818,2.246546694e-4,22.9173567726,1.0407828471,0.575958657,1.8675230669,9.787286571,1.6542470258e-5,-1.4046083458e-8,0.0030844614,-0.0026886557,23.9147620156,3.342,13.7391303797,0.1132905588,84.8588088833,66.6121170688,2.9430148088,0.7768990406,4.0377335825e7,0,268.9332206987,0.4507704554,0.4507704567,0.2921746368,0.0421064202,0.1164893983,1.7855822506e-4,2.8635649429e-5,-1.239020693e-6,0,0,0,0,6.2231484484e-7,0.0313727028,6.2,194.7783549651,1.4811896118,5.8307322462e-4,0,-2.7984386692,725.032840638,329.6030461665,0.05,0.1359552
5.84,1350.391156343,253.9942436141,-20.8687769713,255.0214095485,20.8938714647,112.1075236453,0.0254383759,112.1075265314,2.2691051105e-4,22.8657722155,1.0237248185,0.5759586571,1.8675232811,9.7872473272,2.0513644469e-5,0,-0.0034260412,-0.0019363015,23.9147620156,3.342,13.7391303797,0.1132905588,84.8401850474,66.6121170688,2.9400109643,0.7738405405,4.0169612482e7,0,266.0066113547,0.4501183667,0.4501183686,0.2923221148,0.0416687586,0.1161274934,2.2126873553e-4,1.5953878944e-4,3.6187765327e-4,0,0,0,0,-7.7409626144e-7,0.0312446185,6.2,194.7783549651,1.4809936339,5.2962756956e-4,0,-2.8811566818,723.8686826631,329.5529190508,0.05,0.1364166
